Beaumont 2007 Basic;1;1.01;256;0.4;10000;10;1.0106912691269125;192.5110423564911
Beaumont 2007 Basic;1;1.02;256;0.4;10000;10;1.0194833483348333;206.9388542175293
Beaumont 2007 Basic;1;1.03;256;0.4;10000;10;1.0287749774977497;202.81649255752563
Beaumont 2007 Basic;1;1.04;256;0.4;10000;10;1.0396651665166516;198.9998164176941
Beaumont 2007 Basic;1;1.05;256;0.4;10000;10;1.0502556255625561;203.91060996055603
Beaumont 2007 Basic;1;1.06;256;0.4;10000;10;1.0602466246624662;180.47575068473816
Beaumont 2007 Basic;1;1.07;256;0.4;10000;10;1.070137713771377;183.58679056167603
Beaumont 2007 Basic;1;1.08;256;0.4;10000;10;1.0808280828082808;248.8535635471344
Beaumont 2007 Basic;1;1.09;256;0.4;10000;10;1.0909189918991897;170.81418466567993
Beaumont 2007 Basic;1;1.1;256;0.4;10000;10;1.100210621062106;179.04429149627686
Beaumont 2007 Basic;1;1.11;256;0.4;10000;10;1.109302430243024;227.2824079990387
Beaumont 2007 Basic;1;1.12;256;0.4;10000;10;1.1195931593159314;204.07489013671875
Beaumont 2007 Basic;1;1.13;256;0.4;10000;10;1.130083708370837;235.75684237480164
Beaumont 2007 Basic;1;1.1400000000000001;256;0.4;10000;10;1.140174617461746;200.10954546928406
Beaumont 2007 Basic;1;1.15;256;0.4;10000;10;1.149965796579658;247.72094130516052
Beaumont 2007 Basic;1;1.16;256;0.4;10000;10;1.1619549954995498;255.77239847183228
Beaumont 2007 Basic;1;1.17;256;0.4;10000;10;1.1703474347434741;211.4147891998291
Beaumont 2007 Basic;1;1.18;256;0.4;10000;10;1.181237623762376;234.10780954360962
Beaumont 2007 Basic;1;1.19;256;0.4;10000;10;1.1919279927992799;239.86866545677185
Beaumont 2007 Basic;1;1.2;256;0.4;10000;10;1.2018190819081906;306.2374646663666
Beaumont 2007 Basic;1;1.21;256;0.4;10000;10;1.2136084608460844;237.8682062625885
Beaumont 2007 Basic;1;1.22;256;0.4;10000;10;1.2225004500450045;208.5236792564392
Beaumont 2007 Basic;1;1.23;256;0.4;10000;10;1.2318919891989197;220.19032406806946
Beaumont 2007 Basic;1;1.24;256;0.4;10000;10;1.2417830783078307;237.30681228637695
Beaumont 2007 Basic;1;1.25;256;0.4;10000;10;1.2512745274527453;262.46689462661743
Beaumont 2007 Basic;1;1.26;256;0.4;10000;10;1.2602664266426642;324.24969148635864
Beaumont 2007 Basic;1;1.27;256;0.4;10000;10;1.2688586858685866;291.41442823410034
Beaumont 2007 Basic;1;1.28;256;0.4;10000;10;1.280048604860486;301.17185401916504
Beaumont 2007 Basic;1;1.29;256;0.4;10000;10;1.2915382538253826;255.87883520126343
Beaumont 2007 Basic;1;1.3;256;0.4;10000;10;1.3005301530153015;378.0022003650665
Beaumont 2007 Basic;1;1.31;256;0.4;10000;10;1.311220522052205;234.3970263004303
Beaumont 2007 Basic;1;1.32;256;0.4;10000;10;1.3193132313231322;245.56506371498108
Beaumont 2007 Basic;1;1.33;256;0.4;10000;10;1.331102610261026;365.4700744152069
Beaumont 2007 Basic;1;1.34;256;0.4;10000;10;1.3398946894689467;333.06644678115845
Beaumont 2007 Basic;1;1.35;256;0.4;10000;10;1.3492862286228622;274.79034090042114
Beaumont 2007 Basic;1;1.36;256;0.4;10000;10;1.361175517551755;394.61468410491943
Beaumont 2007 Basic;1;1.37;256;0.4;10000;10;1.3687686768676866;376.71580362319946
Beaumont 2007 Basic;1;1.38;256;0.4;10000;10;1.3782601260126013;410.54258966445923
Beaumont 2007 Basic;1;1.3900000000000001;256;0.4;10000;10;1.389949594959496;373.91391611099243
Beaumont 2007 Basic;1;1.4;256;0.4;10000;10;1.4015391539153914;273.4715473651886
Beaumont 2007 Basic;1;1.4100000000000001;256;0.4;10000;10;1.4104311431143113;388.8293242454529
Beaumont 2007 Basic;1;1.42;256;0.4;10000;10;1.4198226822682267;380.231885433197
Beaumont 2007 Basic;1;1.43;256;0.4;10000;10;1.4287146714671466;367.08583545684814
Beaumont 2007 Basic;1;1.44;256;0.4;10000;10;1.440104410441044;270.5602309703827
Beaumont 2007 Basic;1;1.45;256;0.4;10000;10;1.449196219621962;315.37721037864685
Beaumont 2007 Basic;1;1.46;256;0.4;10000;10;1.4561899189918992;395.8382194042206
Beaumont 2007 Basic;1;1.47;256;0.4;10000;10;1.4683789378937893;406.1139919757843
Beaumont 2007 Basic;1;1.48;256;0.4;10000;10;1.4788694869486947;309.6720633506775
Beaumont 2007 Basic;1;1.49;256;0.4;10000;10;1.4884608460846085;372.5583243370056
Beaumont 2007 Basic;1;1.5;256;0.4;10000;10;1.4978523852385237;396.81021451950073
Beaumont 2007 Basic;1;1.51;256;0.4;10000;10;1.5085427542754275;390.82363772392273
Beaumont 2007 Basic;1;1.52;256;0.4;10000;10;1.5174347434743474;530.3017029762268
Beaumont 2007 Basic;1;1.53;256;0.4;10000;10;1.5283249324932493;487.97422099113464
Beaumont 2007 Basic;1;1.54;256;0.4;10000;10;1.539914491449145;474.1329720020294
Beaumont 2007 Basic;1;1.55;256;0.4;10000;10;1.5472079207920792;433.10743737220764
Beaumont 2007 Basic;1;1.56;256;0.4;10000;10;1.5554005400540052;458.80949997901917
Beaumont 2007 Basic;1;1.57;256;0.4;10000;10;1.5675895589558955;401.5044927597046
Beaumont 2007 Basic;1;1.58;256;0.4;10000;10;1.5785796579657965;477.25242590904236
Beaumont 2007 Basic;1;1.5899999999999999;256;0.4;10000;10;1.5883708370837084;617.331047296524
